author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Russell Turpin,Programming Data Structures in Logic.,"University of Texas, Austin",1992,,,,,,,,,,,,,,,,,,,
Frank Olken,Random Sampling from Databases,University of California at Berkeley,1993,,,LBL Technical Report,,,,,LBL-32883,,,,,,,,,,,
Guido Frisch,Using open source software to develop E-business applications for medium- and small-sized enterprises.,"Bratislava, Univ.",2009,1-151,https://d-nb.info/996716548,,,,,,,,,,,,,,978-3-8300-4753-7,,,
Alessia Amelio,Pattern extraction from data with application to image processing.,"University of Calabria, Italy",2012,,https://doi.org/10.13126/UNICAL.IT/DOTTORATI/1171,,,,,,,,,,,,,,,,,
Razvan Andrei Popescu,Aggregation and adaptation of web services: a semi-automated methodology for the aggregation and adaption of web services.,University of Pisa,2008,1-206,https://d-nb.info/991165179,,,,,,,,,,,,,,978-3-8364-6280-8,,,
Giulio Ermanno Pibiri,Space and Time-Efficient Data Structures for Massive Datasets.,University of Pisa,2018,,"http://pages.di.unipi.it/pibiri/papers/phd_thesis.pdf, http://pages.di.unipi.it/pibiri/slides/final_PhD_presentation2.pdf",,,,,,,,,,,,,,,,,
Giacomo Bergami,A new Nested Graph Model for Data Integration,"University of Bologna, Italy",2018,,"https://doi.org/10.6092/unibo/amsdottorato/8348, http://amsdottorato.unibo.it/8348/",,,,,,,,,,,,,,,,,
Antonio Gullì,Clustering and ranking for web information retrieval: methodologies for searching the web.,University of Pisa,2008,1-137,https://d-nb.info/987753223,,,,,,,,,,,,,,978-3-8364-5657-9,,,
Davide Chicco,Computational Prediction of Gene Functions through Machine Learning methods and Multiple Validation Procedures,"Polytechnic University of Milan, Italy",2014,,http://hdl.handle.net/10589/88161,,,,,,,,,,,,,,,,,
Daniel F. Lieuwen,Optimizing and Parallelizing Loops in Object-Oriented Database Programming Languages.,Univ. of Wisconsin-Madison,1992,,,,,,,,,,,,,,,,,,,
Herman Hartmann,Software product line engineering for consumer electronics: Keeping up with the speed of innovation.,University of Groningen,2015,,http://www.rug.nl/research/portal/publications/software-product-line-engineering-for-consumer-electronics%286aa1ffab-abf6-4d3e-97cb-1e23daed93c5%29.html,,,,,,,,,,,,,,978-90-367-7991-3,,,
Kenneth Rohde Christiansen,Grid-enabling a software product: integration of grid resources in the RCE environment.,"Groningen, Univ.",2008,1-135,https://d-nb.info/991212878,,,,,,,,,,,,,,978-3-8364-7586-0,,,
Marcel Kyas,Verifying OCL specifications of UML models: tool support and compositionakity.,Leiden University,2006,1-199,https://d-nb.info/97879219X,,,,,,,,,,,,,,3-86541-142-8,,,
Sebastian Denef,A Pattern Language of Firefighting Frontline Practice to Inform the Design of Ubiquitous Computing.,Delft University of Technology,2011,1-294,"https://nbn-resolving.org/urn:nbn:de:101:1-201503299440, https://d-nb.info/1017523460, https://d-nb.info/1069050598",,,,,,,,,,,,,,978-3-8440-0533-2,,,
Alexander Bucksch,Revealing the skeleton from imperfect point clouds.,Delft University of Technology,2011,1-141,"http://www.dr.hut-verlag.de/978-3-86853-877-9.html, https://nbn-resolving.org/urn:nbn:de:101:1-201105031558, https://d-nb.info/1011442027",,,,,,,,,,,,,,978-3-86853-877-9,,,
Lacramioara Astefanoaei,An executable theory of multi-agent systems refinement,Leiden University,2011,,https://openaccess.leidenuniv.nl/handle/1887/16343,,,,,,,,,,,,,,,,,
Maurice H. ter Beek,Team Automata: A Formal Approach to the Modeling of Collaboration Between System Components.,Leiden University,2003,,https://openaccess.leidenuniv.nl/handle/1887/29570,,,,,,,,,,,,,,,,,
Jan Martijn E. M. van der Werf,Compositional design and verification of component-based information systems.,Eindhoven University of Technology,2011,1-221,https://d-nb.info/1011046466,,,,,,,,,,,,,,978-90-386-2412-9,,,
Andreas Güner,Testing Object Interactions.,Leiden University,2010,1-240,"http://www.dr.hut-verlag.de/978-3-86853-678-2.html, https://nbn-resolving.org/urn:nbn:de:101:1-2010121410023, https://d-nb.info/1009095463",,,,,,,,,,,,,,978-3-86853-678-2,,,
Hein Philipp Röhrig,Quantum query: complexity and distributed computing.,Free University of Amsterdam,2003,1-157,https://d-nb.info/979267536,,,,,,,,,,,,,,3-933966-04-3,,,
Asit Dan,Performance Analysis of Data Sharing Environments,"University of Massachusetts, Amherst",1990,,,,,,,,,,,,,,,,,,,
David B. Kemp,On the Foundations of Query Evaluation in Deductive Databases,"University of Melbourne, Department of Computer Science",1992,,,,,,,,,,,,,,,,,,,
Ernst Georg Haffner,Request-Prediction and Hyperlink-Proposals,"Univ. Trier, FB 4, Informatik",2001,,"http://ubt.opus.hbz-nrw.de/volltexte/2004/142/, https://nbn-resolving.org/urn:nbn:de:hbz:385-1426, https://d-nb.info/971712972",,,,,,,,,,,,,,,,,
Aviad Rubinstein,Hardness of Approximation Between P and NP.,"University of California at Berkeley, USA",2017,,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2017/EECS-2017-146.pdf,,,,,,,,,,,,,,,,,
Andreas Heuer 0002,Web-Präsenz-Management im Unternehmen: Entwicklung und Einsatz eines Java-basierten Online-Redaktionssystems.,"University of Trier, Germany",2002,,"http://ubt.opus.hbz-nrw.de/volltexte/2004/144/, https://nbn-resolving.org/urn:nbn:de:hbz:385-1443, https://d-nb.info/971713197",,,,,,,,,,,,,,,,,
Christian Stangier,High-level Methods for OBDD-based Sequential Verification,"University of Trier, Germany",2002,,"http://ubt.opus.hbz-nrw.de/volltexte/2004/226/, https://nbn-resolving.org/urn:nbn:de:hbz:385-2263, https://d-nb.info/971737991",,,,,,,,,,,,,,,,,
Andreas Neumann 0001,Parsing and Quering XML Documents in SML.,"University of Trier, Germany",2000,,"http://ubt.opus.hbz-nrw.de/volltexte/2004/198/, http://ub-dok.uni-trier.de/diss/diss72/19991203/19991203.pdf, https://nbn-resolving.org/urn:nbn:de:hbz:385-1988, https://d-nb.info/961036249",,,,,,,,,,,,,,,,,
Leo Mark,Self-Describing Database Systems - Formalization and Realization,"University of Maryland, Department of Computer Science, College Park, MD",1985,,,,,,,,,,,,,,,,,,,
Edsger W. Dijkstra,Communication with an Automatic Computer,University of Amsterdam,1959,,http://www.cs.utexas.edu/users/EWD/PhDthesis/PhDthesis.PDF,Excelsior,,,,,,,,,,,,,,,,
Francisco Reverbel,Persistence in Distributed Object Systems: ORB/ODBMS Integration.,University of New Mexico,1996,,,,,,,,,April,,,,,,,,,,
Heping Shang,Trie Methods for Text and Spatial Data on Secondary Storage.,McGill University,1994,,,,,,,,,,,,,,,,,,,
Alan M. Turing,Systems of Logic Based on Ordinals.,"Princeton University, NJ, USA",1938,,"https://doi.org/10.1112/plms/s2-45.1.161, https://webspace.princeton.edu/users/jedwards/Turing%20Centennial%202012/Mudd%20Archive%20files/12285_AC100_Turing_1938.pdf, https://www.wikidata.org/entity/Q55868868",,,,,,,,,,,,,,,,,
Harald Sack,Improving the Power of Ordered Binary Decision Diagrams by Integrating Parity Nodes,"University of Trier, Germany",2002,,"http://ubt.opus.hbz-nrw.de/volltexte/2004/214/, https://nbn-resolving.org/urn:nbn:de:hbz:385-2148, https://d-nb.info/971741816",,,,,,,,,,,,,,,,,
Dietmar Seipel,Decomposition in Database and Knowledge-Base Systems.,"Julius Maximilians University Würzburg, Germany",1989,1-146,https://d-nb.info/900677945,,,,,,,,,,,,,,,,,
Craig Chambers,"The Design and Implementation of the SELF Compiler, an Optimizing Compilet for Object-Oriented Programming Languages","Stanford University, Department of Computer Science",1992,,,,,,,,,,,,,,,,,,,
Inderpal Singh Mumick,Query Optimization in Deductive and Relational Databases,"Department of Computer Science, Stanford University",1991,,,,,,,,,,,,,,,,,,,
Günther Specht,Source-to-Source Transformationen zur Erklärung des Programmverhaltens bei deduktiven Datenbanken.,"Technical University Munich, Germany",1992,1-196,https://d-nb.info/930702824,,,,,,,,,,,,,,,,,
Tep P. Dobry,A High Performance Architecture For Prolog,University of California at Berkeley,1987,,,,,,,,,,,,,,,,,,,
Peter Van Roy,Can Logic Programming Execute as Fast as Imperative Programming?,University of California at Berkeley,1990,,,,,,,,,,,,,,,,,,,
Sergey Khludov,Entwicklung von Algorithmen und Programmen für ein Archivierungs- und Kommunikationssystem zur internetbasierten Verwaltung medizinischer Bilder,"Univ. Trier, FB 4, Informatik",2000,,http://ubt.opus.hbz-nrw.de/volltexte/2004/168/,,,,,,,,,,,,,,,,,
Sumit Ganguly,Parallel Evaluation of Deductive Database Queries.,"University of Texas, Austin",1992,,,,,,,,,,,,,,,,,,,
Praveen Seshadri,Management of Sequence Data,"Univ. of Wisconsin-Madison, CS Department",1996,,,,,,,,,,,,,,,,,,,
Marshall K. McKusick,Register Allocation and Data Conversion in Machine Independent Code Generators,University of California at Berkeley,1984,,,,,,,,,,,,,,,,,,,
Margo I. Seltzer,File System Performance and Transaction Support.,University of California at Berkeley,1992,,http://db.cs.berkeley.edu/papers/ERL-M93-01.pdf,,,,,,,,,,,,,,,,,
Gert Smolka,Logic Programming over Polymorphically Order-Sorted Types.,"Kaiserslautern University of Technology, Germany",1989,1-222,https://d-nb.info/891234179,,,,,,,,,,,,,,,,,
Todd A. Proebsting,Code Generation Techniques.,Univ. of Wisconsin-Madison,1992,,,,,,,,,,,,,,,,,,,
Antonin Guttman,New Features for Relational Database Systems to Support CAD Applications,"University of California, Berkeley",1984,,,,,,,,,,,,,,,,,,,
Kjell Post,Analysis and Transformation of Logic Programs.,University of California at Santa Cruz,1994,,,,,,,,,,,,,,,,,,,
Seth J. White,Pointer Swizzling Techniques for Object-Oriented Database Systems,"University of Wisconsin-Madison, WI, USA",1994,,,,,,,1242,,,,,,,,,,"Technical Report / University of Wisconsin, Madison / Computer Sciences Department",,
Xueying Zhang,Rough set theory based automatic text categorization and the handling of semantic heterogeneity.,Nanjing University of Science and Technology,2006,1-151,https://d-nb.info/976963094,,,,,,,,,,,,,,3-8206-0149-X,,,
Mark A. Friedman,A Characterization of Prolog Execution,Univ. of Wisconsin-Madison,1992,,,,,,,,,,,,,,,,,,,
Ferdinand Emanuel Schwenkert,"Käuferverhalten bei legalen Musikdownloads: Auswahlverfahren, Qualitätsbeurteilung und Kundenbindung.",Vienna University of Economics and Business,2006,1-270,https://d-nb.info/980315883,,,,,,,,,,,,,,978-3-8350-0508-2,,,
Bernadette Emsenhuber,Der riechende Computer: Geruch als altes/neues Medium.,Johannes Kepler University of Linz,2010,1-251,https://d-nb.info/100985156X,,,,,,,,,,,,,,978-3-8288-2528-4,,,
Stephan Lechner,Defining web scheme transformers by-example.,Johannes Kepler University of Linz,2005,1-224,https://d-nb.info/973957867,,,,,,,,,,,,,,3-89838-487-X,,,
Manuel Wimmer,From mining to mapping and roundtrip transformations: a systematic approach to model-based tool integration.,University of Vienna,2010,1-180,https://d-nb.info/999145509,"Aka Akademische Verlagsgesellschaft Aka GmbH, Berlin",,,,104,,,,,,,,,978-3-89838-504-6,DISDBIS,,
Josef Kolbitsch,Recent developments in digital libraries: how Web 2.0 changes our libraries.,Graz University of Technology,2008,1-131,https://d-nb.info/987727192,,,,,,,,,,,,,,978-3-8364-5902-0,,,
Robert Brummayer,Efficient SMT solving for bit vectors and the extensional theory of arrays.,Johannes Kepler University of Linz,2010,1-142,https://d-nb.info/1004073887,,,,,,,,,,,,,,978-3-85499-707-8,,,
Péter Kárpáti,"Designing and scaling proactive, self-organizing video servers: a formal and a simulation model.",University of Klagenfurt,2008,1-236,https://d-nb.info/98872877X,,,,,,,,,,,,,,978-3-8364-8715-3,,,
Clemens Holzmann,Spatial awareness of autonomous embedded systems.,Johannes Kepler University of Linz,2009,1-206,https://d-nb.info/992304865,,,,,,,,,,,,,,978-3-8348-0798-4,,,
Fabian Höss,Die Einbeziehung von AGB beim Vertragsabschluss im Internet: Grundlagen für den österreichisch-deutschen Online-Rechtsverkehr.,University of Innsbruck,2007,1-244,https://d-nb.info/983892636,,,,,,,,,,,,,,978-3-8364-1169-1,,,
Dietmar Bruckner,Probabilistic models in building automation: recognizing scenarios with statistical methods.,Vienna University of Technology,2008,1-128,https://d-nb.info/987746901,,,,,,,,,,,,,,978-3-8364-5720-0,,,
Susanne Guth,Interoperability of DRM systems: exchanging and processing XML based rights expressions.,Vienna University of Economics and Business,2006,1-262,https://d-nb.info/981366945,,,,,,,,,,,,,,978-3-631-53845-6,,,
Michael Derntl,Patterns for person centered e-learning.,University of Vienna,2006,1-465,https://d-nb.info/982519850,,,,,,,,,,,,,,978-3-89838-496-4,,,
Philipp Peti,Diagnosis and maintenance in an integrated time triggered architecture: tackling the trouble identified phenomenon.,Vienna University of Technology,2008,1-229,https://d-nb.info/989292177,,,,,,,,,,,,,,978-3-8364-8310-0,,,
Klaus Mühlmann,"Datenschutz im Internet unter besonderer Berücksichtigung von Datensicherheitsaspekten: der ""gläserne"" Internetuser?; rechtliche und technische Möglichkeiten der Gefahrenabwehr.",University of Innsbruck,2002,,https://d-nb.info/971047650,,,,,,,,,,,,,,,,,
Maximilian Kobler,Qualität von Prozessmodellen: Kennzahlen zur analytischen Qualitätssicherung bei der Prozessmodellierung.,Johannes Kepler University of Linz,2010,1-288,https://d-nb.info/1007906510,,,,,,,,,,,,,,978-3-8325-2576-7,,,
Masoom Alam,Model driven security for the realization of dynamic security requirements in collaborative systems.,University of Innsbruck,2008,1-159,https://d-nb.info/989176592,,,,,,,,,,,,,,978-3-8364-7134-3,,,
Josef Langer,"Testing, tracing und debugging bei embedded systems.",Johannes Kepler University of Linz,2008,1-169,https://d-nb.info/992351499,,,,,,,,,,,,,,978-3-85499-567-8,,,
Thomas Weishäupl,Business and the grid: economic and transparent utilization of virtual resources.,University of Vienna,2006,1-129,https://d-nb.info/981231608,,,,,,,,,,,,,,3-89838-495-0,,,
Frank Spieß,Zum Bildungsbedarf für Datensicherheit: Konzeption und Entwicklung einer Lernumgebung mit Moodle und Flash.,University of Klagenfurt,2008,1-154,https://d-nb.info/991306171,,,,,,,,,,,,,,978-3-8364-5824-5,,,
Ralf Blaha,Trusted computing auf dem Prüfstand des kartellrechtlichen Missbrauchsverbotes.,Vienna University of Economics and Business,2006,1-249,https://d-nb.info/981771300,,,,,,,,,,,,,,978-3-8329-2473-7,,,
Dieter Altenburger,Hyperlinks: Haftung für fremde Inhalte.,University of Vienna,2004,1-113,https://d-nb.info/971620210,,,,,,,,,,,,,,3-7007-3000-4,,,
Marek Lehmann,Data access in workflow management systems.,University of Klagenfurt,2006,1-166,https://d-nb.info/979672511,,,,,,,,,,,,,,3-89838-494-2,,,
Daniel Ritter 0001,Application integration patterns and their compositions.,University of Vienna,2019,,http://othes.univie.ac.at/58436/,,,,,,,,,,,,,,,,,
Richard J. Fuchs,Die strafrechtliche Verantwortlichkeit der Internet-Provider.,University of Innsbruck,2003,,https://d-nb.info/971175349,,,,,,,,,,,,,,,,,
Janette F. Walde,Design künstlicher neuronaler Netze: ein Leitfaden zur effizienten Handhabung mehrschichtiger Perzeptrone.,University of Innsbruck,2005,1-159,https://d-nb.info/974182915,,,,,,,,,,,,,,3-8244-0842-2,,,
Marianna Obrist,DIY HCI: do-it-yourself human computer interaction.,University of Salzburg,2008,1-145,https://d-nb.info/991461355,,,,,,,,,,,,,,978-3-8364-6269-3,,,
Thomas Kottke,Untersuchung von fehlertoleranten Prozessorarchitekturen für sicherheitsrelevante Automobilanwendungen.,Vienna University of Technology,2006,1-144,https://d-nb.info/978858492,,,,,,,,,,,,,,3-86537-792-0,,,
Terje Tüür-Fröhlich,The Non-trivial Effects of Trivial Errors in Scientific Communication and Evaluation.,"Johannes Kepler University Linz, Austria",2016,1-162,https://d-nb.info/1101604085,Verlag Werner Hülsbusch,,,,69,,,,,,,,,978-3-86488-104-6,Schriften zur Informationswissenschaft,,
Robert Leeb,"Brain computer communication: the motivation, aim, and impact of virtual feedback.",Graz University of Technology,2009,1-162,https://d-nb.info/992685923,,,,,,,,,,,,,,978-3-8322-7944-8,,,
Mathias Lux,Semantische Metadaten: ein Modell für den Bereich zwischen Metadaten und Ontologien.,Graz University of Technology,2008,1-142,https://d-nb.info/988033860,,,,,,,,,,,,,,978-3-8364-6010-1,,,
Sonja Koppensteiner,Process mapping and simulation for software projects: bridging the project management and software development gap.,Johannes Kepler University of Linz,2008,1-263,https://d-nb.info/989471373,,,,,,,,,,,,,,978-3-8364-7433-7,,,
Gerhard Wohlgenannt,Learning ontology relations by combining corpus-based techniques and reasoning on data from semantic web sources.,Vienna University of Economics and Business,2011,1-221,https://d-nb.info/1010834118,,,,,,,,,,,,,,978-3-631-60651-3,,,
Jakob Krameritsch,"Geschichte(n) im Netzwerk: Hypertext und dessen Potenziale für die Produktion, Repräsentation und Rezeption der historischen Erzählung.",University of Vienna,2007,1-327,https://d-nb.info/985600306,,,,,,,,,,,,,,978-3-8309-1835-6,,,
Clemens Brunner 0001,Brain computer interfaces: feature selection of spatially filtered data and phase synchronization.,Graz University of Technology,2007,1-87,https://d-nb.info/986989568,,,,,,,,,,,,,,978-3-8322-6794-0,,,
Muhammad Naeem 0003,Spatio-temporal decomposition of bioelectrical brain signals.,Graz University of Technology,2008,1-120,https://d-nb.info/989082288,,,,,,,,,,,,,,978-3-8322-7290-6,,,
Yll Haxhimusa,The structurally optimal dual graph pyramid and its application in image partitioning.,University of Vienna,2007,1-193,https://d-nb.info/98401361X,,,,,,,,,,,,,,978-3-89838-308-0,,,
Tilo Wendler,Modellierung und Bewertung von IT-Kosten: empirische Analyse mit Hilfe multivariater mathematischer Methoden.,University of Klagenfurt,2004,1-274,https://d-nb.info/970411308,,,,,,,,,,,,,,3-8244-2177-1,,,
Matthias Röckl,Cooperative Situation Awareness in Transportation.,University of Innsbruck,2010,1-250,"http://www.dr.hut-verlag.de/978-3-86853-533-4.html, https://nbn-resolving.org/urn:nbn:de:101:1-20100824465, https://d-nb.info/1006088644",,,,,,,,,,,,,,978-3-86853-533-4,,,
Uwe Heck,Integrationskonzepte zur Einbindung externer Informationsquellen des WWW in Data Warehouses.,University of Vienna,2002,1-132,https://d-nb.info/965351599,,,,,,,,,,,,,,3-89936-011-7,,,
Arndt Mühlenfeld,Runtime data race detection in multi-threaded programs: methods and tools.,Graz University of Technology,2008,1-113,https://d-nb.info/987997963,,,,,,,,,,,,,,978-3-8364-6553-3,,,
Steffen Rothkugel,Towards Middleware Support for Mobile and Cellular Networks: core problems and illustrated approaches.,"Univ. Trier, FB 4, Informatik",2002,,"http://ubt.opus.hbz-nrw.de/volltexte/2004/210/, https://nbn-resolving.org/urn:nbn:de:hbz:385-2109, https://d-nb.info/971737843",,,,,,,,,,,,,,,,,
Alexander Weber 0001,Multi-layered Browsing,"University of Trier, Germany",2007,1-145,"http://www.dr.hut-verlag.de/9783899636345.html, https://d-nb.info/986802948",Verlag Dr. Hut,,,,,,,,,,,,,978-3-89963-634-5,,,
Sanjai Narain,"LOG(F): An Optimal Combination of Logic Programming, Rewriting and Lazy Evaluation.",University of California at Los Angeles,1988,,,,,,,,,,,,,,,,,,,
Walter Waterfeld,Eine erweiterbare Speicher- und Zugriffskomponente für geowissenschaftliche Datenbanksysteme.,"Darmstadt University of Technology, Germany",1991,1-188,https://d-nb.info/921557558,,,,,,,,,,,,,,,,,
Gail Mitchell,Extensible Query Processing in an Object-Oriented Database.,"Brown University, Department of Computer Science",1993,,,,,,,,,,,,,,,,,,,
Sanjay Ghemawat,The Modified Object Buffer: A Storage Management Technique for Object-Oriented Databases,"MIT Laboratory for Computer Science, Cambridge, MA, USA",1995,,http://hdl.handle.net/1721.1/37012,,,,,,,,,,,,,,,,,
Willem P. de Roever,Recursive program schemes: semantics and proof theory.,"Mathematisch Centrum, Amsterdam",1976,,,,,,,70,,,,,,,,,,Mathematical Centre Tracts,,
Christof Hasse,"Inter- und Intratransaktionsparallelität in Datenbanksystemen: Entwurf, Implementierung und Evaluation eines Datenbanksystems mit Inter- und Intratransaktionsparallelität","Departement Informatik, ETH Zürich",1995,,,,,,,,11045,,,,,,,,,,,
Robert Kooi,The Optimization of Queries in Relational Databases.,Case Western Reserve University,1980,,,,,,,,,September,,,,,,,,,,
Lothar Breuer,Spatial Queues.,"Univ. Trier, FB 4, Informatik",2000,,http://ubt.opus.hbz-nrw.de/volltexte/2004/119/,,,,,,,,,,,,,,,,,
Andra Sikeler,Implementierungskonzepte für Non-Standard-Datenbanksysteme.,Universität Kaiserslautern,1989,,,,,,,,,,,,,,,,,,,
Michael J. Carey 0001,Modeling and Evaluation of Database Concurrency Control Algorithms,"College of Engineering, University of California, Berkeley",1983,,,,,,,,,,,,,,,,,,,
Alexandre Passant,Semantic web technologies for enterprise 2.0.,"Paris, Univ. de Paris-Sorbonne",2011,1-328,https://d-nb.info/1009251279,,,,,,,,,,,,,,978-3-89838-646-3,,,
David Monnin,Réseaux de neurones cellulaires et traitement d'images: une approche analytique de la conception d'opérateurs.,"Grenoble, Univ. Joseph Fourier",2004,1-193,https://d-nb.info/972781919,,,,,,,,,,,,,,,,,
Mariem Trabelsi,Games with incomplete information: a framework based on possibility theory,"Paul Sabatier University, Toulouse, France, Tunis University, Tunisia",2020,,http://thesesups.ups-tlse.fr/4833/,,,,,,,,,,,,,,,,,
Ahmed Hamdi,Traitement automatique du dialecte tunisien à l'aide d'outils et de ressources de l'arabe standard : application à l'étiquetage morphosyntaxique,"Aix-Marseille University, France",2015,,https://www.theses.fr/en/2015AIXM4089,,,,,,,,,,,,,,,,,
Louisa Kessi,Unsupervised detection based on spatial relationships : Application for object detection and recognition of colored business document structures.,"INSA of Lyon, University of Lyon, France",2018,1-327,"https://www.theses.fr/en/2018LYSEI068, https://scanr.enseignementsup-recherche.gouv.fr/publication/these2018LYSEI068",,,,,,,,,,,,,,,,,
Markus Blaschka,FIESTA: a framework for schema evolution in multidimensional databases.,"Technical University Munich, Germany",2000,1-200,"http://tumb1.biblio.tu-muenchen.de/publ/diss/in/2000/blaschka.pdf, https://nbn-resolving.org/urn:nbn:de:bvb:91-diss2000122016469, https://d-nb.info/961200200, https://d-nb.info/962067342",,,,,,,,,,,,,,,,,
Jochen Wittmann,Eine Benutzerschnittstelle für die Durchführung von Simulationsexperimenten: Entwurf und Implementierung der Experimentierumgebung für das Simulationssystem SIMPLEX II.,"University of Erlangen-Nuremberg, Germany",1993,1-257,https://d-nb.info/940188228,,,,,,,,,,,,,,1-56555-065-X,,,
Gerhard Setzpfandt,Beitrag zur objektiven Zustandsbewertung massiver Eisenbahngewölbebrücken durch messtechnische Verfahren.,"Hochschule für Verkehrswesen, Dresden, Germany",1985,,https://d-nb.info/860325814,,,,,,,,,,,,,,,,,
Hashim Iqbal Chunpir,Enhancing User Support Process in Federated E-Science.,University of Hamburg,2015,,"http://ediss.sub.uni-hamburg.de/volltexte/2015/7330/, https://nbn-resolving.org/urn:nbn:de:gbv:18-73301, https://d-nb.info/1071948237",,,,,,,,,,,,,,,,,
Wolfram Ebert,Prediction and filtering.,"Humboldt University of Berlin, Unter den Linden, Germany",1999,,https://d-nb.info/958539324,,,,,,,,,,,,,,,,,
Gerald Hartung,Ein Beitrag zum Aufbau eines Mehrrechnersystems: programmtechnische Implementierung und technologisch-organisatorische Bedingungen.,"Dresden University of Technology, Germany",1988,,https://d-nb.info/901181633,,,,,,,,,,,,,,,,,
Josef Deppisch,Die Zeitstruktur neuronaler Repräsentation: Modellierung und Identifikation neuronaler assemblies als kollektive Erregungszustände des visuellen Systems.,"Goethe University Frankfurt, Germany",1994,1-124,"https://d-nb.info/941911624, https://d-nb.info/950981079",Deutsch,,,,,,,,,,,,,978-3-8171-1424-5,,,
Axel Müller 0002,Entwurfsmethodik und automatisierte Verteilung für Steuerungssoftware in einem verteiltem Rechnersystem in der Automobilelektronik.,"University of Tübingen, Germany",1999,1-200,https://d-nb.info/957429606,Der Andere Verlag,,,,,,,,,,,,,978-3-934366-13-8,,,
Miroslava Tzakova,Hybrid languages.,"Saarland University, Saarbrücken, Germany",1999,1-134,https://d-nb.info/958626421,,,,,,,,,,,,,,,,,
René Weller,New geometric data structures for collision detection.,University of Bremen,2012,,"http://elib.suub.uni-bremen.de/edocs/00102857-1.pdf, https://nbn-resolving.org/urn:nbn:de:gbv:46-00102857-18, https://d-nb.info/1029114773, https://d-nb.info/1072046210",,,,,,,,,,,,,,,,,
Christian Gierds,Adaption offener Systeme durch die Trennung von Daten- und Kontrollfluss.,Humboldt University of Berlin,2015,,"http://edoc.hu-berlin.de/dissertationen/gierds-christian-2015-02-12/PDF/gierds.pdf, https://nbn-resolving.org/urn:nbn:de:kobv:11-100227586, https://d-nb.info/1068255293",,,,,,,,,,,,,,,,,
Christian Dünkel,Intervallbasierte Echtzeitübertragungssteuerung.,"Technische Universität Ilmenau, Germany",1997,1-156,https://d-nb.info/958650950,,,,,,,,,,,,,,,,,
Diana Riemer,Multi-aspect full-system server model and optimization concept as a simulation-based approach (MFSMOS).,"University of Paderborn, Germany",2018,,"https://nbn-resolving.org/urn:nbn:de:hbz:466:2-30672, https://d-nb.info/1160301271",,,,,,,,,,,,,,,,,
Maximilian Junker,Specification and Analysis of Availability for Software-Intensive Systems.,"Technical University Munich, Germany",2016,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20161026-1304156-1-6, https://d-nb.info/1122286066",,,,,,,,,,,,,,,,,
Beate Navarro Bullock,Privacy aware social information retrieval and spam filtering using folksonomies.,"Julius Maximilians University Würzburg, Germany",2015,1-204,"https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/12094, https://nbn-resolving.org/urn:nbn:de:bvb:20-opus-120941, https://d-nb.info/1078733600, https://d-nb.info/1111636974",,,,,,,,,,,,,,,,,
Matthias Weidlich,Behavioural profiles: a relational approach to behaviour consistency.,University of Potsdam,2011,,"http://opus.kobv.de/ubp/volltexte/2011/5559/, https://nbn-resolving.org/urn:nbn:de:kobv:517-opus-55590, https://d-nb.info/1017895864",,,,,,,,,,,,,,,,,
Gabriela Alejandra Molinar Torres,Machine Learning Tool for Transmission Capacity Forecasting of Overhead Lines based on Distributed Weather Data.,"Karlsruhe Institute of Technology, Germany",2020,,"https://nbn-resolving.org/urn:nbn:de:101:1-2020122303575511111322, https://d-nb.info/1223985873",,,,,,,,,,,,,,,,,
Stefan Eherer,Eine Software-Umgebung für die kooperative Erstellung von Hypertexten.,"RWTH Aachen University, Germany",1995,1-161,https://d-nb.info/943345057,Niemeyer,,,,,,,,,,,,,978-3-484-31929-5,,,
Lutz Kredel,Wirtschaftlichkeit von Bürokommunikationssystemen: Entwicklung e. method. gestützten Instrumentes für d. Wirtschaftlichkeitsbeurteilung von Bürokommunikationssystemen.,"Technical University of Berlin, Germany",1987,,https://d-nb.info/881123528,,,,,,,,,,,,,,,,,
Christopher Haccius,Towards a synthetic world.,"Saarland University, Germany",2017,,"http://scidok.sulb.uni-saarland.de/volltexte/2017/6734/, https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-67347, https://d-nb.info/1123571481",,,,,,,,,,,,,,,,,
Stefan Höreth,Effiziente Konstruktion und Manipulation von binären Entscheidungsgraphen.,"Darmstadt University of Technology, Germany",1999,1-128,https://d-nb.info/957333072,VDI-Verlag,,,,,,,,,,,,,978-3-18-329520-3,,,
Rainer Storn,Algorithmen und Architekturen der diskreten Fouriertransformation zur schnellen Faltung reeller Signale.,"University of Stuttgart, Germany",1989,1-193,https://d-nb.info/900916761,,,,,,,,,,,,,,,,,
Gerhard Barnickel,Verfahren zur rechnergestützten Modellerzeugung von Makromolekülen und seine Anwendung auf die Strukturuntersuchung bakterieller Lipopolysaccharide.,"Free University of Berlin, Dahlem, Germany",1983,1-143,https://d-nb.info/840206607,,,,,,,,,,,,,,,,,
